Speaker,Language,Text,words_phones_ID_unigram,words_phones_IR_unigram,words_phones_SR_unigram,words_phones_ID_bigram,words_phones_IR_bigram,words_phones_SR_bigram,words_phones_ID_trigram,words_phones_IR_trigram,words_phones_SR_trigram,words_phones_ID_4gram,words_phones_IR_4gram,words_phones_SR_4gram,sentences_phones_ID_unigram,sentences_phones_IR_unigram,sentences_phones_SR_unigram,sentences_phones_ID_bigram,sentences_phones_IR_bigram,sentences_phones_SR_bigram,sentences_phones_ID_trigram,sentences_phones_IR_trigram,sentences_phones_SR_trigram,sentences_phones_ID_4gram,sentences_phones_IR_4gram,sentences_phones_SR_4gram,words_sylls_ID_unigram,words_sylls_IR_unigram,words_sylls_SR_unigram,words_sylls_ID_bigram,words_sylls_IR_bigram,words_sylls_SR_bigram,words_sylls_ID_trigram,words_sylls_IR_trigram,words_sylls_SR_trigram,words_sylls_ID_4gram,words_sylls_IR_4gram,words_sylls_SR_4gram,sentences_sylls_ID_unigram,sentences_sylls_IR_unigram,sentences_sylls_SR_unigram,sentences_sylls_ID_bigram,sentences_sylls_IR_bigram,sentences_sylls_SR_bigram,sentences_sylls_ID_trigram,sentences_sylls_IR_trigram,sentences_sylls_SR_trigram,sentences_sylls_ID_4gram,sentences_sylls_IR_4gram,sentences_sylls_SR_4gram
FRA_F1(Je),FRA,O1,4.751,79.371,16.705,3.7,61.815,16.705,3.997,66.77,16.705,4.395,73.42,16.705,4.751,79.371,16.705,3.982,66.522,16.705,4.087,68.269,16.705,4.579,76.494,16.705,7.86,56.535,7.193,7.157,51.479,7.193,5.483,39.437,7.193,3.448,24.802,7.193,7.86,56.535,7.193,8.155,58.655,7.193,8.378,60.261,7.193,8.3,59.699,7.193
FRA_F1(Je),FRA,O2,4.751,79.239,16.677,3.7,61.712,16.677,3.997,66.659,16.677,4.395,73.298,16.677,4.751,79.239,16.677,3.982,66.411,16.677,4.087,68.155,16.677,4.579,76.366,16.677,7.86,59.169,7.528,7.157,53.877,7.528,5.483,41.273,7.528,3.448,25.957,7.528,7.86,59.169,7.528,8.155,61.387,7.528,8.378,63.068,7.528,8.3,62.48,7.528
FRA_F1(Je),FRA,O3,4.751,68.785,14.477,3.7,53.57,14.477,3.997,57.865,14.477,4.395,63.628,14.477,4.751,68.785,14.477,3.982,57.649,14.477,4.087,59.163,14.477,4.579,66.291,14.477,7.86,50.575,6.434,7.157,46.052,6.434,5.483,35.279,6.434,3.448,22.187,6.434,7.86,50.575,6.434,8.155,52.472,6.434,8.378,53.908,6.434,8.3,53.406,6.434
FRA_F1(Je),FRA,O4,4.751,71.452,15.039,3.7,55.647,15.039,3.997,60.108,15.039,4.395,66.095,15.039,4.751,71.452,15.039,3.982,59.884,15.039,4.087,61.457,15.039,4.579,68.862,15.039,7.86,53.041,6.748,7.157,48.297,6.748,5.483,36.999,6.748,3.448,23.269,6.748,7.86,53.041,6.748,8.155,55.031,6.748,8.378,56.537,6.748,8.3,56.01,6.748
FRA_F1(Je),FRA,O6,4.751,79.25,16.68,3.7,61.72,16.68,3.997,66.668,16.68,4.395,73.308,16.68,4.751,79.25,16.68,3.982,66.42,16.68,4.087,68.165,16.68,4.579,76.377,16.68,7.86,57.165,7.273,7.157,52.053,7.273,5.483,39.876,7.273,3.448,25.078,7.273,7.86,57.165,7.273,8.155,59.309,7.273,8.378,60.933,7.273,8.3,60.364,7.273
FRA_F1(Je),FRA,O8,4.751,80.22,16.884,3.7,62.476,16.884,3.997,67.484,16.884,4.395,74.206,16.884,4.751,80.22,16.884,3.982,67.233,16.884,4.087,68.999,16.884,4.579,77.312,16.884,7.86,56.106,7.138,7.157,51.088,7.138,5.483,39.137,7.138,3.448,24.614,7.138,7.86,56.106,7.138,8.155,58.21,7.138,8.378,59.803,7.138,8.3,59.246,7.138
FRA_F1(Je),FRA,O9,4.751,83.347,17.542,3.7,64.911,17.542,3.997,70.114,17.542,4.395,77.097,17.542,4.751,83.347,17.542,3.982,69.853,17.542,4.087,71.688,17.542,4.579,80.325,17.542,7.86,58.621,7.458,7.157,53.378,7.458,5.483,40.892,7.458,3.448,25.717,7.458,7.86,58.621,7.458,8.155,60.82,7.458,8.378,62.485,7.458,8.3,61.902,7.458
FRA_F1(Je),FRA,P0,4.751,77.133,16.234,3.7,60.071,16.234,3.997,64.887,16.234,4.395,71.349,16.234,4.751,77.133,16.234,3.982,64.645,16.234,4.087,66.343,16.234,4.579,74.336,16.234,7.86,55.501,7.061,7.157,50.537,7.061,5.483,38.715,7.061,3.448,24.348,7.061,7.86,55.501,7.061,8.155,57.582,7.061,8.378,59.158,7.061,8.3,58.607,7.061
FRA_F1(Je),FRA,P1,4.751,78.94,16.615,3.7,61.479,16.615,3.997,66.408,16.615,4.395,73.022,16.615,4.751,78.94,16.615,3.982,66.16,16.615,4.087,67.898,16.615,4.579,76.078,16.615,7.86,54.987,6.996,7.157,50.069,6.996,5.483,38.357,6.996,3.448,24.123,6.996,7.86,54.987,6.996,8.155,57.049,6.996,8.378,58.611,6.996,8.3,58.064,6.996
FRA_F1(Je),FRA,P2,4.751,78.76,16.577,3.7,61.339,16.577,3.997,66.256,16.577,4.395,72.855,16.577,4.751,78.76,16.577,3.982,66.009,16.577,4.087,67.743,16.577,4.579,75.905,16.577,7.86,58.179,7.402,7.157,52.976,7.402,5.483,40.583,7.402,3.448,25.523,7.402,7.86,58.179,7.402,8.155,60.361,7.402,8.378,62.013,7.402,8.3,61.435,7.402
FRA_F1(Je),FRA,P3,4.751,78.953,16.617,3.7,61.489,16.617,3.997,66.418,16.617,4.395,73.033,16.617,4.751,78.953,16.617,3.982,66.171,16.617,4.087,67.909,16.617,4.579,76.09,16.617,7.86,55.978,7.122,7.157,50.971,7.122,5.483,39.048,7.122,3.448,24.558,7.122,7.86,55.978,7.122,8.155,58.077,7.122,8.378,59.667,7.122,8.3,59.111,7.122
FRA_F1(Je),FRA,P8,4.751,75.115,15.81,3.7,58.5,15.81,3.997,63.19,15.81,4.395,69.483,15.81,4.751,75.115,15.81,3.982,62.954,15.81,4.087,64.608,15.81,4.579,72.392,15.81,7.86,53.4,6.794,7.157,48.624,6.794,5.483,37.249,6.794,3.448,23.426,6.794,7.86,53.4,6.794,8.155,55.402,6.794,8.378,56.919,6.794,8.3,56.388,6.794
