Speaker,Language,Text,ID_unigram_coupe,ID_unigram_esidaine,ID_bigram_coupe,ID_bigram_esidaine,ID_trigram_esidaine,ID_4gram_esidaine,IR_unigram_esidaine,IR_bigram_esidaine,IR_trigram_esidaine,IR_4gram_esidaine,SR_unigram_esidaine,SR_bigram_esidaine,SR_trigram_esidaine,SR_4gram_esidaine,phones_ID_unigram_esidaine,phones_IR_unigram_esidaine,phones_SR_unigram_esidaine,phones_ID_bigram_esidaine,phones_IR_bigram_esidaine,phones_SR_bigram_esidaine,phones_ID_trigram_esidaine,phones_IR_trigram_esidaine,phones_SR_trigram_esidaine,phones_ID_4gram_esidaine,phones_IR_4gram_esidaine,phones_SR_4gram_esidaine,sylls_ID_unigram_esidaine,sylls_IR_unigram_esidaine,sylls_SR_unigram_esidaine,sylls_ID_bigram_esidaine,sylls_IR_bigram_esidaine,sylls_SR_bigram_esidaine,sylls_ID_trigram_esidaine,sylls_IR_trigram_esidaine,sylls_SR_trigram_esidaine,sylls_ID_4gram_esidaine,sylls_IR_4gram_esidaine,sylls_SR_4gram_esidaine
CAT_F1(Su),CAT,O1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F1(Su),CAT,O2,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F1(Su),CAT,O3,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F1(Su),CAT,O4,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F1(Su),CAT,O6,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F1(Su),CAT,O8,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F1(Su),CAT,O9,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F1(Su),CAT,P0,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F1(Su),CAT,P1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F1(Su),CAT,P2,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F1(Su),CAT,P3,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F1(Su),CAT,P8,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F1(Su),CAT,P9,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F1(Su),CAT,Q0,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F1(Su),CAT,Q1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F2(De),CAT,O1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F2(De),CAT,O2,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F2(De),CAT,O3,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F2(De),CAT,O4,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F2(De),CAT,O6,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F2(De),CAT,O8,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F2(De),CAT,O9,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F2(De),CAT,P0,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F2(De),CAT,P1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F2(De),CAT,P2,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F2(De),CAT,P3,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F2(De),CAT,P8,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F2(De),CAT,P9,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F2(De),CAT,Q0,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F2(De),CAT,Q1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F3(Mo),CAT,O1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F3(Mo),CAT,O2,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F3(Mo),CAT,O3,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F3(Mo),CAT,O4,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
