Speaker,Language,Text,ShE,NS_coupe,NS_sidaine,ID_bigram_coupe,ID_bigram_esidaine,ID_unigram_esidaine,ID_trigram_esidaine,ID_4gram_esidaine,IR_esidaine
CAT_F1(Su),CAT,O1,8.1,88,,5.49,,,,,
CAT_F1(Su),CAT,O2,8.1,118,,5.49,,,,,
CAT_F1(Su),CAT,O3,8.1,139,,5.49,,,,,
CAT_F1(Su),CAT,O4,8.1,142,,5.49,,,,,
CAT_F1(Su),CAT,O6,8.1,99,,5.49,,,,,
CAT_F1(Su),CAT,O8,8.1,131,,5.49,,,,,
CAT_F1(Su),CAT,O9,8.1,81,,5.49,,,,,
CAT_F1(Su),CAT,P0,8.1,122,,5.49,,,,,
CAT_F1(Su),CAT,P1,8.1,127,,5.49,,,,,
CAT_F1(Su),CAT,P2,8.1,118,,5.49,,,,,
CAT_F1(Su),CAT,P3,8.1,131,,5.49,,,,,
CAT_F1(Su),CAT,P8,8.1,117,,5.49,,,,,
CAT_F1(Su),CAT,P9,8.1,119,,5.49,,,,,
CAT_F1(Su),CAT,Q0,8.1,127,,5.49,,,,,
CAT_F1(Su),CAT,Q1,8.1,93,,5.49,,,,,
CAT_F2(De),CAT,O1,8.1,88,,5.49,,,,,
CAT_F2(De),CAT,O2,8.1,118,,5.49,,,,,
CAT_F2(De),CAT,O3,8.1,139,,5.49,,,,,
CAT_F2(De),CAT,O4,8.1,142,,5.49,,,,,
CAT_F2(De),CAT,O6,8.1,99,,5.49,,,,,
CAT_F2(De),CAT,O8,8.1,131,,5.49,,,,,
CAT_F2(De),CAT,O9,8.1,81,,5.49,,,,,
CAT_F2(De),CAT,P0,8.1,122,,5.49,,,,,
CAT_F2(De),CAT,P1,8.1,127,,5.49,,,,,
CAT_F2(De),CAT,P2,8.1,118,,5.49,,,,,
CAT_F2(De),CAT,P3,8.1,131,,5.49,,,,,
CAT_F2(De),CAT,P8,8.1,117,,5.49,,,,,
CAT_F2(De),CAT,P9,8.1,119,,5.49,,,,,
CAT_F2(De),CAT,Q0,8.1,127,,5.49,,,,,
CAT_F2(De),CAT,Q1,8.1,93,,5.49,,,,,
CAT_F3(Mo),CAT,O1,8.1,88,,5.49,,,,,
CAT_F3(Mo),CAT,O2,8.1,118,,5.49,,,,,
CAT_F3(Mo),CAT,O3,8.1,139,,5.49,,,,,
CAT_F3(Mo),CAT,O4,8.1,142,,5.49,,,,,
CAT_F3(Mo),CAT,O6,8.1,99,,5.49,,,,,
CAT_F3(Mo),CAT,O8,8.1,131,,5.49,,,,,
CAT_F3(Mo),CAT,O9,8.1,81,,5.49,,,,,
CAT_F3(Mo),CAT,P0,8.1,122,,5.49,,,,,
CAT_F3(Mo),CAT,P1,8.1,127,,5.49,,,,,
CAT_F3(Mo),CAT,P2,8.1,118,,5.49,,,,,
CAT_F3(Mo),CAT,P3,8.1,131,,5.49,,,,,
CAT_F3(Mo),CAT,P8,8.1,117,,5.49,,,,,
CAT_F3(Mo),CAT,P9,8.1,119,,5.49,,,,,
CAT_F3(Mo),CAT,Q0,8.1,127,,5.49,,,,,
CAT_F3(Mo),CAT,Q1,8.1,93,,5.49,,,,,
CAT_F4(Mi),CAT,O1,8.1,88,,5.49,,,,,
CAT_F4(Mi),CAT,O2,8.1,118,,5.49,,,,,
CAT_F4(Mi),CAT,O3,8.1,139,,5.49,,,,,
CAT_F4(Mi),CAT,O4,8.1,142,,5.49,,,,,
CAT_F4(Mi),CAT,O6,8.1,99,,5.49,,,,,
CAT_F4(Mi),CAT,O8,8.1,131,,5.49,,,,,
CAT_F4(Mi),CAT,O9,8.1,81,,5.49,,,,,
CAT_F4(Mi),CAT,P0,8.1,122,,5.49,,,,,
CAT_F4(Mi),CAT,P1,8.1,127,,5.49,,,,,
CAT_F4(Mi),CAT,P2,8.1,118,,5.49,,,,,
CAT_F4(Mi),CAT,P3,8.1,131,,5.49,,,,,
CAT_F4(Mi),CAT,P8,8.1,117,,5.49,,,,,
CAT_F4(Mi),CAT,P9,8.1,119,,5.49,,,,,
CAT_F4(Mi),CAT,Q0,8.1,127,,5.49,,,,,
CAT_F4(Mi),CAT,Q1,8.1,93,,5.49,,,,,
CAT_F5(An),CAT,O1,8.1,88,,5.49,,,,,
CAT_F5(An),CAT,O2,8.1,118,,5.49,,,,,
CAT_F5(An),CAT,O3,8.1,139,,5.49,,,,,
CAT_F5(An),CAT,O4,8.1,142,,5.49,,,,,
CAT_F5(An),CAT,O6,8.1,99,,5.49,,,,,
CAT_F5(An),CAT,O8,8.1,131,,5.49,,,,,
CAT_F5(An),CAT,O9,8.1,81,,5.49,,,,,
CAT_F5(An),CAT,P0,8.1,122,,5.49,,,,,
CAT_F5(An),CAT,P1,8.1,127,,5.49,,,,,
CAT_F5(An),CAT,P2,8.1,118,,5.49,,,,,
CAT_F5(An),CAT,P3,8.1,131,,5.49,,,,,
CAT_F5(An),CAT,P8,8.1,117,,5.49,,,,,
CAT_F5(An),CAT,P9,8.1,119,,5.49,,,,,
CAT_F5(An),CAT,Q0,8.1,127,,5.49,,,,,
CAT_F5(An),CAT,Q1,8.1,93,,5.49,,,,,
CAT_M1(Xa),CAT,O1,8.1,88,,5.49,,,,,
CAT_M1(Xa),CAT,O2,8.1,118,,5.49,,,,,
CAT_M1(Xa),CAT,O3,8.1,139,,5.49,,,,,
CAT_M1(Xa),CAT,O4,8.1,142,,5.49,,,,,
CAT_M1(Xa),CAT,O6,8.1,99,,5.49,,,,,
CAT_M1(Xa),CAT,O8,8.1,131,,5.49,,,,,
CAT_M1(Xa),CAT,O9,8.1,81,,5.49,,,,,
CAT_M1(Xa),CAT,P0,8.1,122,,5.49,,,,,
CAT_M1(Xa),CAT,P1,8.1,127,,5.49,,,,,
CAT_M1(Xa),CAT,P2,8.1,118,,5.49,,,,,
CAT_M1(Xa),CAT,P3,8.1,131,,5.49,,,,,
CAT_M1(Xa),CAT,P8,8.1,117,,5.49,,,,,
CAT_M1(Xa),CAT,P9,8.1,119,,5.49,,,,,
CAT_M1(Xa),CAT,Q0,8.1,127,,5.49,,,,,
CAT_M1(Xa),CAT,Q1,8.1,93,,5.49,,,,,
CAT_M2(Al),CAT,O1,8.1,88,,5.49,,,,,
CAT_M2(Al),CAT,O2,8.1,118,,5.49,,,,,
CAT_M2(Al),CAT,O3,8.1,139,,5.49,,,,,
CAT_M2(Al),CAT,O4,8.1,142,,5.49,,,,,
CAT_M2(Al),CAT,O6,8.1,99,,5.49,,,,,
CAT_M2(Al),CAT,O8,8.1,131,,5.49,,,,,
CAT_M2(Al),CAT,O9,8.1,81,,5.49,,,,,
CAT_M2(Al),CAT,P0,8.1,122,,5.49,,,,,
CAT_M2(Al),CAT,P1,8.1,127,,5.49,,,,,
CAT_M2(Al),CAT,P2,8.1,118,,5.49,,,,,
CAT_M2(Al),CAT,P3,8.1,131,,5.49,,,,,
CAT_M2(Al),CAT,P8,8.1,117,,5.49,,,,,
CAT_M2(Al),CAT,P9,8.1,119,,5.49,,,,,
CAT_M2(Al),CAT,Q0,8.1,127,,5.49,,,,,
CAT_M2(Al),CAT,Q1,8.1,93,,5.49,,,,,
CAT_M3(Da),CAT,O1,8.1,88,,5.49,,,,,
CAT_M3(Da),CAT,O2,8.1,118,,5.49,,,,,
CAT_M3(Da),CAT,O3,8.1,139,,5.49,,,,,
CAT_M3(Da),CAT,O4,8.1,142,,5.49,,,,,
CAT_M3(Da),CAT,O6,8.1,99,,5.49,,,,,
CAT_M3(Da),CAT,O8,8.1,131,,5.49,,,,,
CAT_M3(Da),CAT,O9,8.1,81,,5.49,,,,,
CAT_M3(Da),CAT,P0,8.1,122,,5.49,,,,,
CAT_M3(Da),CAT,P1,8.1,127,,5.49,,,,,
CAT_M3(Da),CAT,P2,8.1,118,,5.49,,,,,
CAT_M3(Da),CAT,P3,8.1,131,,5.49,,,,,
CAT_M3(Da),CAT,P8,8.1,117,,5.49,,,,,
CAT_M3(Da),CAT,P9,8.1,119,,5.49,,,,,
CAT_M3(Da),CAT,Q0,8.1,127,,5.49,,,,,
CAT_M3(Da),CAT,Q1,8.1,93,,5.49,,,,,
CAT_M4(Ma),CAT,O1,8.1,88,,5.49,,,,,
CAT_M4(Ma),CAT,O2,8.1,118,,5.49,,,,,
CAT_M4(Ma),CAT,O3,8.1,139,,5.49,,,,,
CAT_M4(Ma),CAT,O4,8.1,142,,5.49,,,,,
CAT_M4(Ma),CAT,O6,8.1,99,,5.49,,,,,
CAT_M4(Ma),CAT,O8,8.1,131,,5.49,,,,,
CAT_M4(Ma),CAT,O9,8.1,81,,5.49,,,,,
CAT_M4(Ma),CAT,P0,8.1,122,,5.49,,,,,
CAT_M4(Ma),CAT,P1,8.1,127,,5.49,,,,,
CAT_M4(Ma),CAT,P2,8.1,118,,5.49,,,,,
CAT_M4(Ma),CAT,P3,8.1,131,,5.49,,,,,
CAT_M4(Ma),CAT,P8,8.1,117,,5.49,,,,,
CAT_M4(Ma),CAT,P9,8.1,119,,5.49,,,,,
CAT_M4(Ma),CAT,Q0,8.1,127,,5.49,,,,,
CAT_M4(Ma),CAT,Q1,8.1,93,,5.49,,,,,
CAT_M5(Jo),CAT,O1,8.1,88,,5.49,,,,,
CAT_M5(Jo),CAT,O2,8.1,118,,5.49,,,,,
CAT_M5(Jo),CAT,O3,8.1,139,,5.49,,,,,
CAT_M5(Jo),CAT,O4,8.1,142,,5.49,,,,,
CAT_M5(Jo),CAT,O6,8.1,99,,5.49,,,,,
CAT_M5(Jo),CAT,O8,8.1,131,,5.49,,,,,
CAT_M5(Jo),CAT,O9,8.1,81,,5.49,,,,,
CAT_M5(Jo),CAT,P0,8.1,122,,5.49,,,,,
CAT_M5(Jo),CAT,P1,8.1,127,,5.49,,,,,
CAT_M5(Jo),CAT,P2,8.1,118,,5.49,,,,,
CAT_M5(Jo),CAT,P3,8.1,131,,5.49,,,,,
CAT_M5(Jo),CAT,P8,8.1,117,,5.49,,,,,
CAT_M5(Jo),CAT,P9,8.1,119,,5.49,,,,,
CAT_M5(Jo),CAT,Q0,8.1,127,,5.49,,,,,
CAT_M5(Jo),CAT,Q1,8.1,93,,5.49,,,,,
CMN_F1(Hu),CMN,O1,8.69,60,,6.96,,,,,
CMN_F1(Hu),CMN,O2,8.69,73,,6.96,,,,,
CMN_F1(Hu),CMN,O3,8.69,73,,6.96,,,,,
CMN_F1(Hu),CMN,O4,8.69,80,,6.96,,,,,
CMN_F1(Hu),CMN,O6,8.69,64,,6.96,,,,,
CMN_F1(Hu),CMN,O8,8.69,69,,6.96,,,,,
CMN_F1(Hu),CMN,O9,8.69,57,,6.96,,,,,
CMN_F1(Hu),CMN,P0,8.69,100,,6.96,,,,,
CMN_F1(Hu),CMN,P1,8.69,70,,6.96,,,,,
CMN_F1(Hu),CMN,P2,8.69,65,,6.96,,,,,
CMN_F1(Hu),CMN,P3,8.69,77,,6.96,,,,,
CMN_F1(Hu),CMN,P8,8.69,78,,6.96,,,,,
CMN_F1(Hu),CMN,P9,8.69,76,,6.96,,,,,
CMN_F1(Hu),CMN,Q0,8.69,68,,6.96,,,,,
CMN_F1(Hu),CMN,Q1,8.69,57,,6.96,,,,,
CMN_F2(Yu),CMN,O1,8.69,60,,6.96,,,,,
CMN_F2(Yu),CMN,O2,8.69,73,,6.96,,,,,
CMN_F2(Yu),CMN,O3,8.69,73,,6.96,,,,,
CMN_F2(Yu),CMN,O4,8.69,80,,6.96,,,,,
CMN_F2(Yu),CMN,O6,8.69,64,,6.96,,,,,
CMN_F2(Yu),CMN,O8,8.69,69,,6.96,,,,,
